DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
South Andaman	3	35	Andaman & Nicobar Island	640	4865.1137254902
Nicobar	1	35	Andaman & Nicobar Island	638	584.9529411765
North & Middle Andaman	2	35	Andaman & Nicobar Island	639	2124.9725490196
Lawangtlai	7	15	Mizoram	287	199.7843137255
Lunglei	6	15	Mizoram	286	686.1803921569
Saiha	8	15	Mizoram	288	129
Dibang Valley	13	12	Arunanchal Pradesh	257	0
Upper Siang	8	12	Arunanchal Pradesh	252	0
Lower Dibang Valley	14	12	Arunanchal Pradesh	258	127
Tuensang	7	13	Nagaland	267	330
Mon	1	13	Nagaland	261	556.7019607843
Tirap	10	12	Arunanchal Pradesh	254	431.7411764706
Sivasagar	12	18	Assam	311	20523.4862745098
Changlang	9	12	Arunanchal Pradesh	253	4749.0666666667
Lohit	15	12	Arunanchal Pradesh	259	1220.0352941177
Anjaw	16	12	Arunanchal Pradesh	260	0
Tinsukia	10	18	Assam	309	35582.431372549
Dhemaji	9	18	Assam	308	1698.9411764706
Dibrugarh	11	18	Assam	310	38384.3725490197
East Siang	7	12	Arunanchal Pradesh	251	449.9960784314
West Siang	6	12	Arunanchal Pradesh	250	288.5176470588
Upper Subansiri	5	12	Arunanchal Pradesh	249	168
Jorhat	13	18	Assam	312	11928.7803921569
Lakhimpur	8	18	Assam	307	3887.462745098
Lower Subansiri	11	12	Arunanchal Pradesh	255	787
Papum Pare	4	12	Arunanchal Pradesh	248	4712.9921568628
Kurung Kumey	12	12	Arunanchal Pradesh	256	0
East Kameng	3	12	Arunanchal Pradesh	247	114.8156862745
West Kameng	2	12	Arunanchal Pradesh	246	1160.0509803922
Tawang	1	12	Arunanchal Pradesh	245	196
Sonitpur	7	18	Assam	306	14882.0431372549
Golaghat	14	18	Assam	313	19162.1843137255
Karbi Anglong	15	18	Assam	314	8346.7019607843
Nagaon	6	18	Assam	305	15023.0039215686
Marigaon	5	18	Assam	304	3914.5843137255
Jaintia Hills	7	17	Meghalaya	299	7061.3803921569
Dima Hasao	16	18	Assam	315	2901.2156862745
Dimapur	5	13	Nagaland	265	7636.3294117647
Peren	11	13	Nagaland	271	1255.2941176471
Kohima	10	13	Nagaland	270	2613.6196078431
Wokha	4	13	Nagaland	264	1004.0039215686
Phek	6	13	Nagaland	266	384.1411764706
Zunheboto	3	13	Nagaland	263	503.7882352941
Mokokchung	2	13	Nagaland	262	1566.0352941177
Longleng	8	13	Nagaland	268	142.6274509804
Kiphire	9	13	Nagaland	269	225
Senapati	1	14	Manipur	272	2281.9921568628
Ukhrul	8	14	Manipur	279	255.3803921569
Tamenglong	2	14	Manipur	273	959.8784313725
Imphal East	7	14	Manipur	278	7573.7803921569
Chandel	9	14	Manipur	280	442.7254901961
Thoubal	5	14	Manipur	276	2679.4392156863
Bishnupur	4	14	Manipur	275	1888.7882352941
Churachandpur	3	14	Manipur	274	1231.4705882353
Champhai	4	15	Mizoram	284	372.537254902
Aizawl	3	15	Mizoram	283	3882.9921568628
Serchhip	5	15	Mizoram	285	492.3882352941
Mamit	1	15	Mizoram	281	296.8862745098
Kolasib	2	15	Mizoram	282	1148.5254901961
Hailakandi	19	18	Assam	318	2712.737254902
Karimganj	18	18	Assam	317	3585.3215686275
Cachar	17	18	Assam	316	9999.1960784314
Imphal West	6	14	Manipur	277	369.3137254902
Ri Bhoi	5	17	Meghalaya	297	6328.8196078431
East Khasi Hills	6	17	Meghalaya	298	9641.4431372549
West Khasi Hills	4	17	Meghalaya	296	1324.7843137255
West Tripura	1	16	Tripura	289	30108.6156862745
Dhalai	3	16	Tripura	291	5231.0392156863
North Tripura	4	16	Tripura	292	7497.9058823529
South Tripura	2	16	Tripura	290	16553.168627451
South Garo Hills	3	17	Meghalaya	295	689.5019607843
East Garo Hills	2	17	Meghalaya	294	1765.5921568628
West Garo Hills	1	17	Meghalaya	293	2178.6862745098
Dhubri	2	18	Assam	301	3635.0784313726
Goalpara	3	18	Assam	302	8079.168627451
Bongaigaon	20	18	Assam	319	4945.2980392157
Chirang	21	18	Assam	320	6090.4352941177
Kokrajhar	1	18	Assam	300	6778.0039215686
Barpeta	4	18	Assam	303	5381.4196078431
