DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
South Andaman	3	35	Andaman & Nicobar Island	640	742.4470588235
Nicobar	1	35	Andaman & Nicobar Island	638	7
North & Middle Andaman	2	35	Andaman & Nicobar Island	639	0
Lawangtlai	7	15	Mizoram	287	0
Lunglei	6	15	Mizoram	286	0
Saiha	8	15	Mizoram	288	0
Dibang Valley	13	12	Arunanchal Pradesh	257	0
Upper Siang	8	12	Arunanchal Pradesh	252	0
Lower Dibang Valley	14	12	Arunanchal Pradesh	258	17
Tuensang	7	13	Nagaland	267	0
Mon	1	13	Nagaland	261	0
Tirap	10	12	Arunanchal Pradesh	254	0
Sivasagar	12	18	Assam	311	389
Changlang	9	12	Arunanchal Pradesh	253	0
Lohit	15	12	Arunanchal Pradesh	259	22
Anjaw	16	12	Arunanchal Pradesh	260	0
Tinsukia	10	18	Assam	309	612
Dhemaji	9	18	Assam	308	11
Dibrugarh	11	18	Assam	310	1429
East Siang	7	12	Arunanchal Pradesh	251	46
West Siang	6	12	Arunanchal Pradesh	250	0
Upper Subansiri	5	12	Arunanchal Pradesh	249	0
Jorhat	13	18	Assam	312	401
Lakhimpur	8	18	Assam	307	104
Lower Subansiri	11	12	Arunanchal Pradesh	255	0
Papum Pare	4	12	Arunanchal Pradesh	248	236
Kurung Kumey	12	12	Arunanchal Pradesh	256	0
East Kameng	3	12	Arunanchal Pradesh	247	0
West Kameng	2	12	Arunanchal Pradesh	246	0
Tawang	1	12	Arunanchal Pradesh	245	0
Sonitpur	7	18	Assam	306	483
Golaghat	14	18	Assam	313	60
Karbi Anglong	15	18	Assam	314	285.3098039216
Nagaon	6	18	Assam	305	783
Marigaon	5	18	Assam	304	29
Jaintia Hills	7	17	Meghalaya	299	65
Dima Hasao	16	18	Assam	315	40
Dimapur	5	13	Nagaland	265	333.5176470588
Peren	11	13	Nagaland	271	0
Kohima	10	13	Nagaland	270	86
Wokha	4	13	Nagaland	264	0
Phek	6	13	Nagaland	266	0
Zunheboto	3	13	Nagaland	263	0
Mokokchung	2	13	Nagaland	262	33
Longleng	8	13	Nagaland	268	0
Kiphire	9	13	Nagaland	269	0
Senapati	1	14	Manipur	272	0
Ukhrul	8	14	Manipur	279	0
Tamenglong	2	14	Manipur	273	0
Imphal East	7	14	Manipur	278	1786
Chandel	9	14	Manipur	280	0
Thoubal	5	14	Manipur	276	13
Bishnupur	4	14	Manipur	275	7
Churachandpur	3	14	Manipur	274	25
Champhai	4	15	Mizoram	284	0
Aizawl	3	15	Mizoram	283	252
Serchhip	5	15	Mizoram	285	0
Mamit	1	15	Mizoram	281	0
Kolasib	2	15	Mizoram	282	0
Hailakandi	19	18	Assam	318	28
Karimganj	18	18	Assam	317	0
Cachar	17	18	Assam	316	881
Imphal West	6	14	Manipur	277	0
Ri Bhoi	5	17	Meghalaya	297	0
East Khasi Hills	6	17	Meghalaya	298	1823
