DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
South Andaman	3	35	Andaman & Nicobar Island	640	1.6776390343
Nicobar	1	35	Andaman & Nicobar Island	638	0.2916615339
North & Middle Andaman	2	35	Andaman & Nicobar Island	639	0.5273757153
Lawangtlai	7	15	Mizoram	287	0.0792480419
Lunglei	6	15	Mizoram	286	0.1198226108
Saiha	8	15	Mizoram	288	0.0517820291
Dibang Valley	13	12	Arunanchal Pradesh	257	0
Upper Siang	8	12	Arunanchal Pradesh	252	0
Lower Dibang Valley	14	12	Arunanchal Pradesh	258	0.0168408211
Tuensang	7	13	Nagaland	267	0.1027827686
Mon	1	13	Nagaland	261	0.23143615
Tirap	10	12	Arunanchal Pradesh	254	0.1624536111
Sivasagar	12	18	Assam	311	5.9494790571
Changlang	9	12	Arunanchal Pradesh	253	0.7175427692
Lohit	15	12	Arunanchal Pradesh	259	0.2375042846
Anjaw	16	12	Arunanchal Pradesh	260	0
Tinsukia	10	18	Assam	309	7.1258588748
Dhemaji	9	18	Assam	308	0.4953526742
Dibrugarh	11	18	Assam	310	8.6065507463
East Siang	7	12	Arunanchal Pradesh	251	0.0909727309
West Siang	6	12	Arunanchal Pradesh	250	0.0274266747
Upper Subansiri	5	12	Arunanchal Pradesh	249	0.0197671682
Jorhat	13	18	Assam	312	3.0444237157
Lakhimpur	8	18	Assam	307	1.0279696494
Lower Subansiri	11	12	Arunanchal Pradesh	255	0.2411293917
Papum Pare	4	12	Arunanchal Pradesh	248	0.9496534253
Kurung Kumey	12	12	Arunanchal Pradesh	256	0
East Kameng	3	12	Arunanchal Pradesh	247	0.0145459423
West Kameng	2	12	Arunanchal Pradesh	246	0.1678067913
Tawang	1	12	Arunanchal Pradesh	245	0.0631353165
Sonitpur	7	18	Assam	306	2.1905734689
Golaghat	14	18	Assam	313	4.3687790128
Karbi Anglong	15	18	Assam	314	0.6166143312
Nagaon	6	18	Assam	305	2.8921560264
Marigaon	5	18	Assam	304	1.9459787705
Jaintia Hills	7	17	Meghalaya	299	1.4400342924
Dima Hasao	16	18	Assam	315	0.4579673039
Dimapur	5	13	Nagaland	265	7.264934561
Peren	11	13	Nagaland	271	0.5572558154
Kohima	10	13	Nagaland	270	1.3650771868
Wokha	4	13	Nagaland	264	0.4749106369
Phek	6	13	Nagaland	266	0.1446551747
Zunheboto	3	13	Nagaland	263	0.3079604268
Mokokchung	2	13	Nagaland	262	0.7482714425
Longleng	8	13	Nagaland	268	0.1937614874
Kiphire	9	13	Nagaland	269	0.1510878324
Senapati	1	14	Manipur	272	0.5081012172
Ukhrul	8	14	Manipur	279	0.0445038844
Tamenglong	2	14	Manipur	273	0.1778531683
Imphal East	7	14	Manipur	278	6.3991902083
Chandel	9	14	Manipur	280	0.1086473242
Thoubal	5	14	Manipur	276	2.9285496916
Bishnupur	4	14	Manipur	275	3.0648098656
Churachandpur	3	14	Manipur	274	0.2100362585
Champhai	4	15	Mizoram	284	0.0873298737
Aizawl	3	15	Mizoram	283	0.8154986777
Serchhip	5	15	Mizoram	285	0.3364875947
Mamit	1	15	Mizoram	281	0.0767224964
Kolasib	2	15	Mizoram	282	0.6664072704
Hailakandi	19	18	Assam	318	1.5879510494
Karimganj	18	18	Assam	317	1.4947901424
Cachar	17	18	Assam	316	2.0552818542
Imphal West	6	14	Manipur	277	0.9566546799
