South Andaman,640,2661.0
Nicobar,638,1944.0
North & Middle Andaman,639,3865.0
Lawangtlai,287,2478.0
Lunglei,286,5567.0
Saiha,288,2451.0
Dibang Valley,257,9877.0
Upper Siang,252,9004.0
Lower Dibang Valley,258,7536.0
Tuensang,267,3181.0
Mon,261,2338.0
Tirap,254,2641.0
Sivasagar,311,3258.0
Changlang,253,6549.0
Lohit,259,5077.0
Anjaw,260,8609.0
Tinsukia,309,4431.0
Dhemaji,308,3430.0
Dibrugarh,310,4177.0
East Siang,251,4941.0
West Siang,250,10510.0
Upper Subansiri,249,8499.0
Jorhat,312,3843.0
Lakhimpur,307,3778.0
Lower Subansiri,255,3239.0
Papum Pare,248,4787.0
Kurung Kumey,256,8964.0
East Kameng,247,7885.0
West Kameng,246,6812.0
Tawang,245,3077.0
Sonitpur,306,6707.0
Golaghat,313,4345.0
Karbi Anglong,314,13344.0
Nagaon,305,5060.0
Marigaon,304,1985.0
Jaintia Hills,299,4716.0
Dima Hasao,315,6056.0
Dimapur,265,894.0
Peren,271,2170.0
Kohima,270,1697.0
Wokha,264,1988.0
Phek,266,2620.0
Zunheboto,263,1583.0
Mokokchung,262,1883.0
Longleng,268,706.0
Kiphire,269,1480.0
Senapati,272,4271.0
Ukhrul,279,5661.0
Tamenglong,273,5353.0
Imphal East,278,1086.0
Chandel,280,4017.0
Thoubal,276,914.0
Bishnupur,275,600.0
Churachandpur,274,5795.0
Champhai,284,4154.0
Aizawl,283,4391.0
Serchhip,285,1388.0
Mamit,281,3787.0
Kolasib,282,1584.0
Hailakandi,318,1658.0
Karimganj,317,2329.0
Cachar,316,4628.0
Imphal West,277,366.0
Ri Bhoi,297,2751.0
East Khasi Hills,298,3086.0
West Khasi Hills,296,6640.0
West Tripura,289,3380.0
Dhalai,291,2738.0
North Tripura,292,2327.0
South Tripura,290,3705.0
South Garo Hills,295,2367.0
East Garo Hills,294,3668.0
West Garo Hills,293,4086.0
Dhubri,301,2980.0
Goalpara,302,2547.0
Bongaigaon,319,1368.0
Chirang,320,2237.0
Kokrajhar,300,4128.0
Barpeta,303,2998.0
Baksa,324,3087.0
Kamrup,321,3742.0
Kamrup Metropolitan,322,1307.0
Nalbari,323,1335.0
Darrang,325,2092.0
Udalguri,326,2613.0
Leh (ladakh),3,113260.0
Data Not Available,0,121459.0
Punch,5,3261.0
Kupwara,1,2832.0
Baramula,8,2421.0
Bandipore,9,3242.0
Ganderbal,11,1508.0
Srinagar,10,1456.0
Badgam,2,1792.0
Pulwama,12,848.0
Shupiyan,13,757.0
Rajouri,6,2621.0
Kulgam,15,1854.0
Anantnag,14,4384.0
Kargil,4,20916.0
Kishtwar,18,12008.0
Lahul & Spiti,25,19110.0
Chamba,23,8615.0
Kangra,24,6074.0
Kullu,26,7321.0
Kinnaur,34,8746.0
Mandi,27,5039.0
Hamirpur,28,794.0
Solan,31,1469.0
Bilaspur,30,979.0
Una,29,1541.0
Rupnagar,51,1788.0
Shahid Bhagat Singh Nagar,39,1732.0
Shimla,33,6371.0
Sirmaur,32,3243.0
Uttarkashi,56,10830.0
Chamoli,57,10422.0
Tehri Garhwal,59,4738.0
Rudraprayag,58,2431.0
Dehradun,60,3398.0
Garhwal,61,6632.0
Saharanpur,132,4955.0
Hardwar,68,3125.0
Muzaffarnagar,133,5385.0
Bijnor,134,5709.0
Almora,64,3671.0
Nainital,66,4976.0
Udham Singh Nagar,67,3434.0
Rampur,136,3395.0
Moradabad,135,4796.0
Bareilly,150,4961.0
Budaun,149,6713.0
Jyotiba Phule Nagar,137,2968.0
Bulandshahr,142,4656.0
Ghaziabad,140,2540.0
Meerut,138,3386.0
Baghpat,139,1761.0
Sonipat,76,2871.0
North West,90,503.0
Gautam Buddha Nagar,141,1808.0
Aligarh,143,4919.0
Faridabad,88,1112.0
Palwal,89,1751.0
Mewat,87,1929.0
Gurgaon,86,1583.0
South,98,261.0
New Delhi,94,14.0
South West,97,465.0
Central,95,10.0
East,93,62.0
North East,92,51.0
North,91,70.0
West,96,105.0
Jhajjar,83,2562.0
Alwar,104,10731.0
Rewari,85,1971.0
Rohtak,82,2284.0
Bhiwani,81,6147.0
Jind,77,3625.0
Panipat,75,1634.0
Karnal,74,3537.0
Kaithal,73,3069.0
Kurukshetra,72,2115.0
Patiala,48,4441.0
Ambala,70,2032.0
Yamunanagar,71,2273.0
Panchkula,69,931.0
Sahibzada Ajit Singh Nagar,52,1382.0
Chandigarh,55,111.0
Fatehgarh Sahib,40,1539.0
Ludhiana,41,4810.0
Sangrur,53,4843.0
Barnala,54,2006.0
Moga,42,3178.0
Bathinda,46,4544.0
Faridkot,45,1965.0
Mansa,47,2969.0
Fatehabad,78,3222.0
Sirsa,79,5683.0
Hisar,80,5611.0
Mahendragarh,84,2553.0
Jhunjhunun,103,7814.0
Churu,102,18418.0
Sikar,111,10112.0
Hanumangarh,100,13275.0
Bikaner,101,39991.0
Ganganagar,99,14296.0
Muktsar,44,3513.0
Firozpur,43,7044.0
Amritsar,49,3618.0
Gurdaspur,35,4923.0
Tarn Taran,50,3263.0
Kapurthala,36,2265.0
Jalandhar,37,3533.0
Hoshiarpur,38,4413.0
Kathua,7,2980.0
Samba,22,1203.0
Jammu,21,2578.0
Udhampur,19,3013.0
Doda,16,2793.0
Ramban,17,1504.0
Reasi,20,3026.0
Jaisalmer,114,50368.0
Jodhpur,113,29874.0
Nagaur,112,23133.0
Barmer,115,36815.0
Pali,118,15983.0
Jalor,116,13821.0
Sirohi,117,6442.0
Udaipur,130,15194.0
Banas Kantha,469,13447.0
Kachchh,468,53668.0
Jamnagar,477,13686.0
Porbandar,478,2780.0
Rajkot,476,14104.0
Junagadh,479,9585.0
Amreli,480,9891.0
Surendranagar,475,13301.0
Bhavnagar,481,10521.0
Ahmadabad,474,10102.0
Patan,470,7207.0
Mahesana,471,5563.0
Gandhinagar,473,2705.0
Sabar Kantha,472,9122.0
Dungarpur,124,4798.0
Kheda,483,5041.0
Panch Mahals,484,6519.0
Vadodara,486,9261.0
Anand,482,3679.0
Bharuch,488,6585.0
Narmada,487,3143.0
Nandurbar,497,7332.0
Alirajpur,465,4137.0
Jhabua,464,4351.0
Dohad,485,4471.0
Banswara,125,5710.0
Ratlam,434,6139.0
Dhar,438,10273.0
Barwani,441,6824.0
West Nimar,440,9958.0
Indore,439,4712.0
East Nimar,466,9271.0
Dewas,437,8484.0
Ujjain,435,7745.0
Sehore,445,8091.0
Shajapur,436,8022.0
Rajgarh,442,7774.0
Mandsaur,433,7216.0
Pratapgarh,131,5497.0
Jhalawar,129,8009.0
Kota,127,7023.0
Baran,128,8768.0
Chittaurgarh,126,9791.0
Neemuch,432,5313.0
Rajsamand,123,6165.0
Bhilwara,122,13516.0
Ajmer,119,11078.0
Jaipur,110,14524.0
Tonk,120,9425.0
Dausa,109,4547.0
