South Andaman,640,2537.0,0.0,65.0,14.0,12.0,3.0,6.0,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0
Nicobar,638,1931.0,0.0,8.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North & Middle Andaman,639,3787.0,0.0,70.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawangtlai,287,2478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunglei,286,5563.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saiha,288,2451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibang Valley,257,9877.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Siang,252,9004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Dibang Valley,258,7532.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuensang,267,3177.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon,261,2318.0,0.0,19.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tirap,254,2636.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivasagar,311,986.0,0.0,960.0,584.0,231.0,127.0,79.0,43.0,41.0,22.0,23.0,15.0,10.0,18.0,10.0,7.0,13.0,11.0,8.0,8.0,10.0,10.0,7.0,2.0,11.0,7.0,5.0,3.0,4.0,2.0,1.0,0
Changlang,253,6323.0,0.0,99.0,47.0,20.0,16.0,7.0,5.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0,0,0,0,0,0,0
Lohit,259,4975.0,0.0,46.0,37.0,5.0,4.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjaw,260,8609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,309,3040.0,0.0,389.0,356.0,197.0,109.0,99.0,56.0,34.0,16.0,13.0,13.0,15.0,15.0,8.0,10.0,6.0,12.0,3.0,9.0,4.0,4.0,0.0,7.0,3.0,1.0,6.0,3.0,2.0,1.0,0,0
Dhemaji,308,3397.0,0.0,17.0,14.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibrugarh,310,1902.0,0.0,458.0,436.0,276.0,158.0,122.0,100.0,92.0,78.0,55.0,49.0,46.0,37.0,31.0,37.0,36.0,27.0,28.0,20.0,15.0,20.0,16.0,13.0,18.0,19.0,10.0,13.0,15.0,16.0,20.0,14.0
East Siang,251,4929.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Siang,250,10500.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Subansiri,249,8499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorhat,312,2505.0,0.0,766.0,327.0,84.0,40.0,27.0,25.0,19.0,9.0,8.0,5.0,4.0,7.0,1.0,3.0,2.0,5.0,1.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0
Lakhimpur,307,3549.0,0.0,151.0,44.0,17.0,11.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,255,3232.0,0.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,248,4668.0,0.0,37.0,38.0,16.0,17.0,5.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurung Kumey,256,8964.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,247,7879.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Kameng,246,6770.0,0.0,31.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,245,3064.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonitpur,306,4938.0,0.0,1245.0,330.0,99.0,37.0,19.0,12.0,7.0,6.0,5.0,5.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golaghat,313,2254.0,0.0,1423.0,339.0,86.0,35.0,25.0,24.0,17.0,18.0,16.0,9.0,11.0,6.0,5.0,7.0,8.0,8.0,10.0,5.0,7.0,6.0,4.0,4.0,10.0,3.0,3.0,2.0,0,0,0,0
Karbi Anglong,314,12629.0,1.0,578.0,69.0,34.0,16.0,4.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Nagaon,305,2772.0,0.0,1729.0,406.0,60.0,31.0,20.0,10.0,10.0,8.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marigaon,304,1565.0,0.0,312.0,54.0,24.0,14.0,4.0,6.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaintia Hills,299,4505.0,0.0,139.0,55.0,14.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dima Hasao,315,5974.0,0.0,47.0,18.0,8.0,2.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimapur,265,618.0,0.0,160.0,24.0,17.0,19.0,11.0,6.0,6.0,5.0,4.0,6.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0
Peren,271,2134.0,0.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kohima,270,1688.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wokha,264,1953.0,0.0,21.0,8.0,1.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phek,266,2611.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zunheboto,263,1580.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mokokchung,262,1875.0,0.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longleng,268,705.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiphire,269,1474.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,272,4137.0,0.0,120.0,13.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukhrul,279,5643.0,0.0,14.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamenglong,273,5353.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imphal East,278,217.0,0.0,393.0,251.0,55.0,35.0,15.0,17.0,16.0,7.0,10.0,6.0,8.0,5.0,6.0,6.0,5.0,0.0,2.0,5.0,7.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,0,0
Chandel,280,3978.0,0.0,35.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,276,348.0,0.0,385.0,124.0,34.0,20.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishnupur,275,224.0,0.0,281.0,71.0,21.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,274,5677.0,0.0,82.0,21.0,8.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champhai,284,4144.0,0.0,6.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aizawl,283,4366.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0,0,0,0,0
Serchhip,285,1369.0,0.0,18.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamit,281,3770.0,0.0,13.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolasib,282,1574.0,0.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,318,1125.0,0.0,407.0,67.0,26.0,9.0,6.0,9.0,4.0,4.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karimganj,317,1599.0,0.0,534.0,116.0,32.0,10.0,10.0,13.0,3.0,3.0,4.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cachar,316,3291.0,0.0,1019.0,176.0,50.0,25.0,16.0,13.0,11.0,4.0,6.0,6.0,4.0,5.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imphal West,277,331.0,0.0,17.0,9.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ri Bhoi,297,2629.0,0.0,70.0,24.0,13.0,8.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,298,2784.0,0.0,167.0,97.0,26.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Khasi Hills,296,6578.0,0.0,45.0,14.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Tripura,289,1584.0,0.0,841.0,375.0,205.0,91.0,65.0,46.0,32.0,19.0,9.0,10.0,8.0,5.0,4.0,10.0,7.0,3.0,5.0,5.0,5.0,7.0,6.0,5.0,5.0,6.0,3.0,4.0,5.0,4.0,4.0,2.0
Dhalai,291,2465.0,0.0,177.0,55.0,19.0,17.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Tripura,292,1758.0,0.0,371.0,96.0,43.0,11.0,12.0,13.0,10.0,3.0,0.0,2.0,4.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Tripura,290,2758.0,0.0,730.0,120.0,45.0,21.0,7.0,13.0,5.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Garo Hills,295,2326.0,0.0,30.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Garo Hills,294,3373.0,1.0,198.0,60.0,20.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,293,3849.0,0.0,223.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhubri,301,2504.0,0.0,359.0,57.0,30.0,13.0,6.0,2.0,2.0,4.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goalpara,302,1824.0,0.0,611.0,80.0,14.0,4.0,5.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bongaigaon,319,755.0,0.0,484.0,80.0,29.0,5.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chirang,320,1824.0,0.0,240.0,64.0,31.0,12.0,9.0,12.0,3.0,6.0,3.0,7.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0
Kokrajhar,300,3345.0,0.0,615.0,96.0,36.0,20.0,8.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barpeta,303,2312.0,0.0,488.0,121.0,47.0,17.0,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baksa,324,2855.0,0.0,217.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamrup,321,2384.0,0.0,893.0,266.0,74.0,39.0,26.0,16.0,10.0,2.0,8.0,2.0,5.0,5.0,3.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Kamrup Metropolitan,322,683.0,0.0,282.0,83.0,48.0,27.0,21.0,15.0,9.0,12.0,11.0,10.0,5.0,6.0,10.0,6.0,8.0,5.0,9.0,4.0,9.0,5.0,2.0,4.0,3.0,6.0,5.0,6.0,4.0,8.0,1.0,0
Nalbari,323,908.0,0.0,359.0,37.0,12.0,8.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrang,325,1736.0,0.0,270.0,42.0,23.0,16.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udalguri,326,1827.0,0.0,644.0,122.0,19.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leh (ladakh),3,113113.0,0.0,61.0,50.0,17.0,10.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Not Available,0,114961.0,0.0,2102.0,2311.0,897.0,462.0,214.0,134.0,120.0,70.0,33.0,33.0,28.0,18.0,10.0,11.0,12.0,8.0,5.0,10.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,0,0,0
Punch,5,2718.0,0.0,358.0,147.0,23.0,6.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kupwara,1,2819.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baramula,8,2068.0,0.0,193.0,79.0,29.0,15.0,8.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,5.0,3.0,1.0,4.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
