South Andaman,640,2616.0,25.0,11.0,4.0,0.0,5.0,0,0
Nicobar,638,1943.0,1.0,0,0,0,0,0,0
North & Middle Andaman,639,3865.0,0,0,0,0,0,0,0
Lawangtlai,287,2478.0,0,0,0,0,0,0,0
Lunglei,286,5567.0,0,0,0,0,0,0,0
Saiha,288,2451.0,0,0,0,0,0,0,0
Dibang Valley,257,9877.0,0,0,0,0,0,0,0
Upper Siang,252,9004.0,0,0,0,0,0,0,0
Lower Dibang Valley,258,7536.0,0,0,0,0,0,0,0
Tuensang,267,3181.0,0,0,0,0,0,0,0
Mon,261,2338.0,0,0,0,0,0,0,0
Tirap,254,2641.0,0,0,0,0,0,0,0
Sivasagar,311,2530.0,480.0,101.0,45.0,40.0,29.0,26.0,7.0
Changlang,253,6469.0,48.0,8.0,9.0,8.0,6.0,1.0,0
Lohit,259,5058.0,11.0,5.0,3.0,0.0,0,0,0
Anjaw,260,8609.0,0,0,0,0,0,0,0
Tinsukia,309,3785.0,461.0,76.0,48.0,30.0,15.0,13.0,3.0
Dhemaji,308,3428.0,2.0,0,0,0,0,0,0
Dibrugarh,310,2796.0,656.0,274.0,151.0,111.0,64.0,60.0,65.0
East Siang,251,4941.0,0,0,0,0,0,0,0
West Siang,250,10510.0,0,0,0,0,0,0,0
Upper Subansiri,249,8499.0,0,0,0,0,0,0,0
Jorhat,312,3598.0,176.0,41.0,15.0,10.0,3.0,0,0
Lakhimpur,307,3744.0,34.0,0,0,0,0,0,0
Lower Subansiri,255,3238.0,1.0,0,0,0,0,0,0
Papum Pare,248,4743.0,42.0,2.0,0,0,0,0,0
Kurung Kumey,256,8964.0,0,0,0,0,0,0,0
East Kameng,247,7885.0,0,0,0,0,0,0,0
West Kameng,246,6812.0,0,0,0,0,0,0,0
Tawang,245,3077.0,0,0,0,0,0,0,0
Sonitpur,306,6513.0,167.0,23.0,4.0,0,0,0,0
Golaghat,313,4016.0,170.0,60.0,29.0,31.0,21.0,18.0,0
Karbi Anglong,314,13277.0,59.0,6.0,1.0,1.0,0.0,0,0
Nagaon,305,4907.0,121.0,25.0,5.0,2.0,0,0,0
Marigaon,304,1931.0,48.0,6.0,0,0,0,0,0
Jaintia Hills,299,4699.0,17.0,0,0,0,0,0,0
Dima Hasao,315,6039.0,17.0,0,0,0,0,0,0
Dimapur,265,802.0,53.0,21.0,11.0,4.0,2.0,1.0,0
Peren,271,2170.0,0,0,0,0,0,0,0
Kohima,270,1696.0,0.0,1.0,0,0,0,0,0
Wokha,264,1982.0,6.0,0,0,0,0,0,0
Phek,266,2620.0,0,0,0,0,0,0,0
Zunheboto,263,1583.0,0,0,0,0,0,0,0
Mokokchung,262,1883.0,0,0,0,0,0,0,0
Longleng,268,706.0,0,0,0,0,0,0,0
Kiphire,269,1480.0,0,0,0,0,0,0,0
Senapati,272,4270.0,1.0,0,0,0,0,0,0
Ukhrul,279,5661.0,0,0,0,0,0,0,0
Tamenglong,273,5353.0,0,0,0,0,0,0,0
Imphal East,278,861.0,122.0,39.0,25.0,12.0,12.0,9.0,6.0
Chandel,280,4016.0,1.0,0,0,0,0,0,0
Thoubal,276,857.0,57.0,0,0,0,0,0,0
Bishnupur,275,576.0,24.0,0,0,0,0,0,0
Churachandpur,274,5780.0,15.0,0,0,0,0,0,0
Champhai,284,4152.0,2.0,0,0,0,0,0,0
Aizawl,283,4382.0,0.0,0.0,2.0,1.0,2.0,4.0,0
Serchhip,285,1388.0,0,0,0,0,0,0,0
Mamit,281,3786.0,1.0,0,0,0,0,0,0
Kolasib,282,1584.0,0,0,0,0,0,0,0
Hailakandi,318,1599.0,50.0,9.0,0.0,0,0,0,0
Karimganj,317,2249.0,65.0,12.0,3.0,0,0,0,0
Cachar,316,4486.0,104.0,27.0,9.0,2.0,0,0,0
Imphal West,277,357.0,9.0,0,0,0,0,0,0
Ri Bhoi,297,2723.0,24.0,3.0,1.0,0.0,0,0,0
East Khasi Hills,298,3048.0,33.0,2.0,1.0,2.0,0,0,0
West Khasi Hills,296,6637.0,3.0,0,0,0,0,0,0
West Tripura,289,2800.0,407.0,70.0,27.0,20.0,23.0,18.0,15.0
Dhalai,291,2697.0,41.0,0,0,0,0,0,0
North Tripura,292,2225.0,79.0,15.0,8.0,0,0,0,0
South Tripura,290,3608.0,86.0,11.0,0,0,0,0,0
South Garo Hills,295,2363.0,4.0,0,0,0,0,0,0
East Garo Hills,294,3632.0,36.0,0,0,0,0,0,0
West Garo Hills,293,4086.0,0,0,0,0,0,0,0
Dhubri,301,2920.0,51.0,8.0,1.0,0,0,0,0
Goalpara,302,2515.0,27.0,5.0,0,0,0,0,0
Bongaigaon,319,1319.0,42.0,6.0,1.0,0,0,0,0
Chirang,320,2128.0,64.0,19.0,16.0,9.0,1.0,0,0
