South Andaman,640,2520.0,300.0,29.0,16.0,9.0,6.0,6.0,4.0,2.0,3.0,4.0,2.0,0,0,0,0
Nicobar,638,1921.0,76.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
North & Middle Andaman,639,3781.0,248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawangtlai,287,2478.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunglei,286,5563.0,138.0,19.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
Saiha,288,2451.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibang Valley,257,9877.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Siang,252,9004.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Dibang Valley,258,7532.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuensang,267,3177.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon,261,2318.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tirap,254,2636.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivasagar,311,979.0,1681.0,387.0,129.0,72.0,44.0,32.0,20.0,25.0,17.0,21.0,9.0,18.0,8.0,6.0,1.0
Changlang,253,6322.0,213.0,36.0,12.0,6.0,3.0,6.0,4.0,5.0,6.0,3.0,3.0,1.0,0,0,0
Lohit,259,4975.0,135.0,13.0,4.0,3.0,2.0,2.0,1.0,0.0,0,0,0,0,0,0,0
Anjaw,260,8609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,309,3020.0,1124.0,417.0,202.0,62.0,38.0,35.0,21.0,22.0,12.0,12.0,10.0,5.0,10.0,3.0,0
Dhemaji,308,3397.0,31.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibrugarh,310,1678.0,1184.0,502.0,260.0,193.0,123.0,99.0,73.0,69.0,51.0,38.0,32.0,40.0,32.0,40.0,45.0
East Siang,251,4927.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Siang,250,10500.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Subansiri,249,8499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorhat,312,2505.0,1164.0,128.0,52.0,28.0,13.0,11.0,4.0,7.0,3.0,3.0,0,0,0,0,0
Lakhimpur,307,3549.0,199.0,28.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,255,3232.0,30.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,248,4664.0,213.0,63.0,17.0,7.0,0,0,0,0,0,0,0,0,0,0,0
Kurung Kumey,256,8964.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,247,7879.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Kameng,246,6770.0,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,245,3064.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonitpur,306,4907.0,1676.0,153.0,31.0,13.0,10.0,4.0,0,0,0,0,0,0,0,0,0
Golaghat,313,2250.0,1794.0,129.0,51.0,35.0,27.0,18.0,12.0,16.0,15.0,13.0,8.0,13.0,5.0,0,0
Karbi Anglong,314,12627.0,790.0,71.0,23.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0
Nagaon,305,2686.0,2315.0,98.0,40.0,24.0,11.0,6.0,6.0,4.0,5.0,0,0,0,0,0,0
Marigaon,304,1550.0,401.0,43.0,11.0,7.0,0,0,0,0,0,0,0,0,0,0,0
Jaintia Hills,299,4505.0,354.0,34.0,11.0,1.0,0,0,0,0,0,0,0,0,0,0,0
Dima Hasao,315,5961.0,308.0,48.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
Dimapur,265,618.0,297.0,48.0,24.0,12.0,14.0,12.0,6.0,4.0,6.0,5.0,4.0,1.0,0,0,0
Peren,271,2134.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kohima,270,1688.0,174.0,18.0,15.0,7.0,10.0,2.0,0,0,0,0,0,0,0,0,0
Wokha,264,1953.0,132.0,16.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,0
Phek,266,2611.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zunheboto,263,1580.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mokokchung,262,1876.0,199.0,17.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Longleng,268,705.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiphire,269,1474.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,272,4137.0,351.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukhrul,279,5643.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamenglong,273,5353.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imphal East,278,217.0,710.0,96.0,35.0,25.0,19.0,14.0,12.0,7.0,10.0,7.0,7.0,9.0,8.0,7.0,0
Chandel,280,3978.0,96.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,276,348.0,509.0,55.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
Bishnupur,275,224.0,366.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,274,5678.0,160.0,20.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
Champhai,284,4144.0,110.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aizawl,283,4366.0,294.0,36.0,13.0,12.0,7.0,5.0,7.0,4.0,6.0,6.0,1.0,5.0,1.0,0,0
Serchhip,285,1369.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamit,281,3770.0,97.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolasib,282,1574.0,134.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,318,1107.0,538.0,39.0,15.0,9.0,1.0,0.0,0,0,0,0,0,0,0,0,0
Karimganj,317,1530.0,784.0,43.0,24.0,8.0,6.0,4.0,0,0,0,0,0,0,0,0,0
Cachar,316,3230.0,1462.0,81.0,33.0,17.0,15.0,9.0,4.0,6.0,3.0,4.0,0,0,0,0,0
Imphal West,277,331.0,43.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ri Bhoi,297,2629.0,419.0,72.0,12.0,3.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0
East Khasi Hills,298,2784.0,643.0,91.0,24.0,15.0,10.0,10.0,6.0,5.0,8.0,5.0,5.0,6.0,6.0,5.0,0
West Khasi Hills,296,6578.0,172.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Tripura,289,1578.0,1539.0,380.0,131.0,61.0,21.0,17.0,17.0,11.0,11.0,13.0,11.0,11.0,8.0,9.0,6.0
Dhalai,291,2465.0,360.0,45.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
North Tripura,292,1758.0,729.0,70.0,32.0,15.0,3.0,7.0,1.0,0,0,0,0,0,0,0,0
South Tripura,290,2757.0,1100.0,98.0,26.0,14.0,3.0,0,0,0,0,0,0,0,0,0,0
South Garo Hills,295,2324.0,150.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Garo Hills,294,3374.0,381.0,33.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,293,3842.0,426.0,29.0,11.0,11.0,6.0,4.0,0,0,0,0,0,0,0,0,0
Dhubri,301,2439.0,467.0,53.0,12.0,8.0,3.0,1.0,0,0,0,0,0,0,0,0,0
Goalpara,302,1772.0,789.0,31.0,11.0,8.0,0,0,0,0,0,0,0,0,0,0,0
Bongaigaon,319,743.0,577.0,34.0,8.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0
Chirang,320,1808.0,319.0,46.0,21.0,11.0,10.0,14.0,8.0,7.0,4.0,4.0,2.0,3.0,0,0,0
Kokrajhar,300,3341.0,727.0,56.0,12.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Barpeta,303,2295.0,632.0,68.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
Baksa,324,2855.0,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamrup,321,2305.0,1247.0,124.0,45.0,14.0,10.0,11.0,4.0,10.0,5.0,2.0,1.0,0.0,0.0,0,0
Kamrup Metropolitan,322,646.0,560.0,114.0,45.0,24.0,24.0,12.0,16.0,14.0,19.0,19.0,11.0,13.0,21.0,23.0,3.0
Nalbari,323,907.0,406.0,20.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
Darrang,325,1665.0,361.0,49.0,7.0,7.0,1.0,6.0,1.0,0.0,1.0,2.0,0,0,0,0,0
Udalguri,326,1821.0,824.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leh (ladakh),3,113113.0,111.0,27.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0
Data Not Available,0,114962.0,5602.0,1558.0,345.0,192.0,66.0,46.0,21.0,20.0,17.0,5.0,6.0,5.0,4.0,1.0,0
Punch,5,2718.0,601.0,29.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0
Kupwara,1,2819.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baramula,8,2068.0,325.0,62.0,15.0,4.0,6.0,1.0,8.0,5.0,2.0,0,0,0,0,0,0
Bandipore,9,3231.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganderbal,11,1508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
