South Andaman,640,2890.0,11.0
Nicobar,638,2007.0,0
North & Middle Andaman,639,4029.0,0
Lawangtlai,287,2521.0,0
Lunglei,286,5726.0,0
Saiha,288,2491.0,0
Dibang Valley,257,9877.0,0
Upper Siang,252,9008.0,0
Lower Dibang Valley,258,7541.0,0
Tuensang,267,3211.0,0
Mon,261,2405.0,0
Tirap,254,2658.0,0
Sivasagar,311,3344.0,105.0
Changlang,253,6602.0,18.0
Lohit,259,5135.0,0.0
Anjaw,260,8609.0,0
Tinsukia,309,4919.0,74.0
Dhemaji,308,3430.0,0
Dibrugarh,310,4112.0,347.0
East Siang,251,4946.0,0
West Siang,250,10520.0,0
Upper Subansiri,249,8499.0,0
Jorhat,312,3905.0,13.0
Lakhimpur,307,3782.0,0
Lower Subansiri,255,3264.0,0
Papum Pare,248,4964.0,0
Kurung Kumey,256,8964.0,0
East Kameng,247,7894.0,0
West Kameng,246,6913.0,0
Tawang,245,3104.0,0
Sonitpur,306,6794.0,0
Golaghat,313,4316.0,70.0
Karbi Anglong,314,13532.0,1.0
Nagaon,305,5186.0,9.0
Marigaon,304,2012.0,0
Jaintia Hills,299,4905.0,0
Dima Hasao,315,6335.0,0
Dimapur,265,1031.0,20.0
Peren,271,2253.0,0
Kohima,270,1914.0,0
Wokha,264,2113.0,0
Phek,266,2655.0,0
Zunheboto,263,1636.0,0
Mokokchung,262,2093.0,0
Longleng,268,737.0,0
Kiphire,269,1489.0,0
Senapati,272,4493.0,0
Ukhrul,279,5739.0,0
Tamenglong,273,5397.0,0
Imphal East,278,1128.0,55.0
Chandel,280,4075.0,0
Thoubal,276,915.0,0
Bishnupur,275,617.0,0
Churachandpur,274,5863.0,0
Champhai,284,4266.0,0
Aizawl,283,4740.0,23.0
Serchhip,285,1463.0,0
Mamit,281,3870.0,0
Kolasib,282,1723.0,0
Hailakandi,318,1709.0,0
Karimganj,317,2399.0,0
Cachar,316,4851.0,13.0
Imphal West,277,386.0,0
Ri Bhoi,297,3137.0,0.0
East Khasi Hills,298,3583.0,40.0
West Khasi Hills,296,6760.0,0
West Tripura,289,3744.0,80.0
Dhalai,291,2876.0,0
North Tripura,292,2615.0,0
South Tripura,290,3998.0,0
South Garo Hills,295,2482.0,0
East Garo Hills,294,3796.0,0
West Garo Hills,293,4329.0,0
Dhubri,301,2983.0,0
Goalpara,302,2611.0,0
Bongaigaon,319,1369.0,0
Chirang,320,2237.0,20.0
Kokrajhar,300,4140.0,0
Barpeta,303,3008.0,0
Baksa,324,3095.0,0
Kamrup,321,3760.0,18.0
Kamrup Metropolitan,322,1441.0,123.0
Nalbari,323,1344.0,0
Darrang,325,2097.0,3.0
Udalguri,326,2665.0,0
Leh (ladakh),3,113260.0,0
Data Not Available,0,122792.0,58.0
Punch,5,3357.0,0
Kupwara,1,2840.0,0
Baramula,8,2489.0,7.0
Bandipore,9,3248.0,0
Ganderbal,11,1508.0,0
Srinagar,10,1479.0,24.0
Badgam,2,1802.0,0
Pulwama,12,861.0,0
Shupiyan,13,763.0,0
Rajouri,6,2690.0,0
Kulgam,15,1858.0,0
Anantnag,14,4410.0,0
Kargil,4,20916.0,0
Kishtwar,18,12040.0,0
Lahul & Spiti,25,19110.0,0
Chamba,23,8963.0,0
Kangra,24,7864.0,3.0
Kullu,26,7566.0,0
Kinnaur,34,8847.0,0
Mandi,27,5414.0,0
Hamirpur,28,1539.0,0
Solan,31,2638.0,30.0
Bilaspur,30,1595.0,0
Una,29,2102.0,5.0
Rupnagar,51,1824.0,60.0
Shahid Bhagat Singh Nagar,39,1755.0,14.0
Shimla,33,6981.0,21.0
Sirmaur,32,3813.0,0
Uttarkashi,56,10952.0,0
Chamoli,57,10604.0,0
Tehri Garhwal,59,5208.0,24.0
Rudraprayag,58,2487.0,0
Dehradun,60,3993.0,161.0
Garhwal,61,7335.0,9.0
Saharanpur,132,4934.0,79.0
Hardwar,68,3109.0,103.0
Muzaffarnagar,133,5351.0,77.0
Bijnor,134,5771.0,8.0
Almora,64,4167.0,0
Nainital,66,5504.0,33.0
Udham Singh Nagar,67,3610.0,62.0
Rampur,136,3374.0,50.0
Moradabad,135,4708.0,116.0
Bareilly,150,4907.0,114.0
Budaun,149,6688.0,27.0
Jyotiba Phule Nagar,137,3019.0,7.0
Bulandshahr,142,4653.0,65.0
Ghaziabad,140,2343.0,284.0
Meerut,138,3279.0,206.0
Baghpat,139,1760.0,10.0
Sonipat,76,2740.0,138.0
North West,90,137.0,452.0
Gautam Buddha Nagar,141,1554.0,312.0
Aligarh,143,4845.0,98.0
Faridabad,88,837.0,277.0
Palwal,89,1703.0,48.0
Mewat,87,1930.0,9.0
Gurgaon,86,1342.0,296.0
South,98,45.0,291.0
New Delhi,94,0,51.0
South West,97,142.0,435.0
Central,95,0,20.0
East,93,0,87.0
North East,92,10.0,73.0
North,91,3.0,90.0
West,96,0,162.0
Jhajjar,83,2522.0,51.0
Alwar,104,10818.0,116.0
Rewari,85,1880.0,95.0
Rohtak,82,2219.0,73.0
Bhiwani,81,6079.0,70.0
Jind,77,3550.0,76.0
Panipat,75,1468.0,170.0
Karnal,74,3388.0,156.0
Kaithal,73,3029.0,62.0
Kurukshetra,72,1995.0,120.0
Patiala,48,4263.0,231.0
Ambala,70,1900.0,143.0
Yamunanagar,71,2237.0,107.0
Panchkula,69,1089.0,62.0
Sahibzada Ajit Singh Nagar,52,1341.0,163.0
Chandigarh,55,3.0,156.0
Fatehgarh Sahib,40,1493.0,55.0
Ludhiana,41,4413.0,453.0
Sangrur,53,4733.0,124.0
Barnala,54,1971.0,35.0
Moga,42,3131.0,52.0
Bathinda,46,4431.0,113.0
Faridkot,45,1900.0,65.0
Mansa,47,2947.0,27.0
Fatehabad,78,3162.0,60.0
Sirsa,79,5602.0,83.0
Hisar,80,5455.0,157.0
Mahendragarh,84,2523.0,30.0
Jhunjhunun,103,7740.0,89.0
Churu,102,18309.0,108.0
Sikar,111,10036.0,96.0
Hanumangarh,100,13189.0,88.0
Bikaner,101,39832.0,162.0
Ganganagar,99,14175.0,121.0
Muktsar,44,3429.0,86.0
Firozpur,43,6862.0,184.0
Amritsar,49,3404.0,240.0
Gurdaspur,35,4845.0,129.0
Tarn Taran,50,3220.0,46.0
Kapurthala,36,2203.0,65.0
Jalandhar,37,3309.0,243.0
Hoshiarpur,38,4566.0,41.0
Kathua,7,3235.0,23.0
Samba,22,1353.0,4.0
Jammu,21,2562.0,221.0
Udhampur,19,3304.0,24.0
Doda,16,2892.0,0
Ramban,17,1550.0,0
Reasi,20,3161.0,19.0
Jaisalmer,114,50342.0,27.0
Jodhpur,113,29631.0,243.0
Nagaur,112,23026.0,107.0
Barmer,115,36764.0,53.0
Pali,118,15936.0,66.0
Jalor,116,13813.0,17.0
Sirohi,117,6582.0,49.0
Udaipur,130,15136.0,138.0
Banas Kantha,469,13603.0,42.0
Kachchh,468,53432.0,235.0
Jamnagar,477,13461.0,292.0
Porbandar,478,2817.0,57.0
Rajkot,476,13799.0,329.0
Junagadh,479,10189.0,179.0
Amreli,480,9828.0,94.0
Surendranagar,475,13205.0,96.0
Bhavnagar,481,10330.0,192.0
Ahmadabad,474,9667.0,480.0
Patan,470,7177.0,30.0
Mahesana,471,5497.0,125.0
Gandhinagar,473,2512.0,201.0
Sabar Kantha,472,9430.0,34.0
Dungarpur,124,4819.0,8.0
Kheda,483,5024.0,41.0
Panch Mahals,484,6683.0,30.0
Vadodara,486,9148.0,333.0
Anand,482,3623.0,63.0
Bharuch,488,6115.0,526.0
Narmada,487,3549.0,0
Nandurbar,497,7384.0,24.0
Alirajpur,465,4214.0,2.0
Jhabua,464,4345.0,11.0
Dohad,485,4541.0,14.0
Banswara,125,5707.0,27.0
Ratlam,434,6076.0,66.0
Dhar,438,10237.0,65.0
Barwani,441,6817.0,20.0
West Nimar,440,10113.0,29.0
Indore,439,4640.0,311.0
East Nimar,466,9340.0,34.0
Dewas,437,8750.0,68.0
Ujjain,435,7643.0,102.0
Sehore,445,8292.0,37.0
Shajapur,436,7994.0,31.0
Rajgarh,442,7792.0,26.0
Mandsaur,433,7184.0,33.0
Pratapgarh,131,5498.0,4.0
Jhalawar,129,7981.0,33.0
Kota,127,6860.0,242.0
Baran,128,8752.0,29.0
Chittaurgarh,126,9736.0,93.0
Neemuch,432,5313.0,31.0
Rajsamand,123,6166.0,30.0
Bhilwara,122,13459.0,63.0
Ajmer,119,10858.0,226.0
Jaipur,110,14193.0,555.0
Tonk,120,9389.0,36.0
Dausa,109,4515.0,32.0
Sawai Madhopur,108,6510.0,40.0
Bundi,121,7176.0,38.0
Sheopur,418,8466.0,13.0
Shivpuri,423,13489.0,35.0
Guna,458,8017.0,70.0
Gwalior,421,6601.0,176.0
Morena,419,6459.0,33.0
Dhaulpur,106,3931.0,21.0
Karauli,107,6414.0,26.0
Bharatpur,105,6590.0,44.0
Mathura,145,4231.0,182.0
Mahamaya Nagar,144,2299.0,26.0
Agra,146,5035.0,239.0
Bhind,420,5778.0,43.0
Firozabad,147,3085.0,65.0
Etah,201,3286.0,19.0
Kansiram Nagar,202,2586.0,6.0
Shahjahanpur,152,6096.0,49.0
Farrukhabad,159,2834.0,37.0
Mainpuri,148,3532.0,9.0
Etawah,161,3014.0,24.0
Kannauj,160,2714.0,1.0
Auraiya,162,2552.0,67.0
Jalaun,165,5912.0,26.0
Datia,422,2418.0,27.0
Tikamgarh,424,6499.0,21.0
Jhansi,166,6466.0,85.0
Lalitpur,167,6468.0,14.0
Hamirpur,168,5520.0,0
Mahoba,169,3708.0,0
Chhatarpur,425,11105.0,47.0
Sagar,427,13009.0,76.0
Damoh,428,9343.0,37.0
Raisen,446,10765.0,30.0
Vidisha,443,9301.0,26.0
Ashoknagar,459,6057.0,9.0
Bhopal,444,3192.0,275.0
Harda,448,4172.0,12.0
Hoshangabad,449,8436.0,52.0
Betul,447,12629.0,36.0
Chhindwara,455,14836.0,41.0
Narsimhapur,452,6500.0,21.0
Jabalpur,451,6293.0,195.0
Seoni,456,11028.0,19.0
Mandla,454,9534.0,12.0
Balaghat,457,11612.0,17.0
Dindori,453,7228.0,0
Katni,450,6391.0,65.0
Umaria,431,5842.0,0.0
Panna,426,9084.0,13.0
Satna,429,9556.0,63.0
Banda,170,5836.0,22.0
Chitrakoot,171,3969.0,6.0
Shahdol,460,7197.0,46.0
Sidhi,462,6105.0,6.0
Rewa,430,8051.0,55.0
Kaushambi,174,2576.0,47.0
Allahabad,175,6547.0,187.0
Sant Ravi Das Nagar(bhadohi),198,1287.0,15.0
Mirzapur,199,5776.0,33.0
Singrauli,463,7227.0,171.0
Koriya,400,8419.0,29.0
Anuppur,461,4789.0,11.0
Kabeerdham,407,5318.0,0
Bilaspur,406,10452.0,73.0
Korba,404,8143.0,179.0
Surguja,401,19977.0,25.0
Sonbhadra,200,8521.0,169.0
Garhwa,346,5245.0,0
Jashpur,402,7351.0,0
Raigarh,403,8899.0,28.0
Gumla,366,6796.0,0
Simdega,367,4784.0,0
Sundargarh,374,12112.0,133.0
Ranchi,364,6175.0,96.0
Lohardaga,356,1905.0,0
Latehar,359,5426.0,0
Chatra,347,4798.0,1.0
Palamu,358,5652.0,0
Rohtas,234,4972.0,0
Kaimur (bhabua),233,4309.0,0
Aurangabad,235,4213.0,0
Gaya,236,6341.0,33.0
Bhojpur,231,3065.0,0
Arwal,240,858.0,0
Jehanabad,239,1200.0,0
Patna,230,3943.0,195.0
Buxar,232,2208.0,0
Ghazipur,195,4370.0,6.0
Chandauli,196,3223.0,41.0
