South Andaman,640,2865.0,25.0,11.0,0
Nicobar,638,2007.0,0,0,0
North & Middle Andaman,639,4029.0,0,0,0
Lawangtlai,287,2521.0,0,0,0
Lunglei,286,5726.0,0,0,0
Saiha,288,2491.0,0,0,0
Dibang Valley,257,9877.0,0,0,0
Upper Siang,252,9008.0,0,0,0
Lower Dibang Valley,258,7541.0,0,0,0
Tuensang,267,3211.0,0,0,0
Mon,261,2405.0,0,0,0
Tirap,254,2658.0,0,0,0
Sivasagar,311,3176.0,168.0,72.0,33.0
Changlang,253,6583.0,19.0,17.0,1.0
Lohit,259,5127.0,8.0,0.0,0
Anjaw,260,8609.0,0,0,0
Tinsukia,309,4763.0,156.0,56.0,18.0
Dhemaji,308,3430.0,0,0,0
Dibrugarh,310,3624.0,488.0,190.0,157.0
East Siang,251,4946.0,0,0,0
West Siang,250,10520.0,0,0,0
Upper Subansiri,249,8499.0,0,0,0
Jorhat,312,3849.0,56.0,13.0,0
Lakhimpur,307,3782.0,0,0,0
Lower Subansiri,255,3264.0,0,0,0
Papum Pare,248,4957.0,7.0,0,0
Kurung Kumey,256,8964.0,0,0,0
East Kameng,247,7894.0,0,0,0
West Kameng,246,6913.0,0,0,0
Tawang,245,3104.0,0,0,0
Sonitpur,306,6767.0,27.0,0,0
Golaghat,313,4224.0,92.0,52.0,18.0
Karbi Anglong,314,13511.0,21.0,1.0,0
Nagaon,305,5139.0,47.0,9.0,0
Marigaon,304,2005.0,7.0,0,0
Jaintia Hills,299,4904.0,1.0,0,0
Dima Hasao,315,6335.0,0,0,0
Dimapur,265,987.0,44.0,19.0,1.0
Peren,271,2253.0,0,0,0
Kohima,270,1895.0,19.0,0,0
Wokha,264,2111.0,2.0,0,0
Phek,266,2655.0,0,0,0
Zunheboto,263,1636.0,0,0,0
Mokokchung,262,2093.0,0,0,0
Longleng,268,737.0,0,0,0
Kiphire,269,1489.0,0,0,0
Senapati,272,4493.0,0,0,0
Ukhrul,279,5739.0,0,0,0
Tamenglong,273,5397.0,0,0,0
Imphal East,278,1058.0,70.0,31.0,24.0
Chandel,280,4075.0,0,0,0
Thoubal,276,915.0,0,0,0
Bishnupur,275,617.0,0,0,0
Churachandpur,274,5863.0,0,0,0
Champhai,284,4266.0,0,0,0
Aizawl,283,4709.0,31.0,17.0,6.0
Serchhip,285,1463.0,0,0,0
Mamit,281,3870.0,0,0,0
Kolasib,282,1723.0,0,0,0
Hailakandi,318,1699.0,10.0,0,0
Karimganj,317,2381.0,18.0,0,0
Cachar,316,4806.0,45.0,13.0,0
Imphal West,277,386.0,0,0,0
Ri Bhoi,297,3132.0,5.0,0.0,0
East Khasi Hills,298,3542.0,41.0,23.0,17.0
West Khasi Hills,296,6760.0,0,0,0
West Tripura,289,3628.0,116.0,46.0,34.0
Dhalai,291,2876.0,0,0,0
North Tripura,292,2589.0,26.0,0,0
South Tripura,290,3981.0,17.0,0,0
South Garo Hills,295,2482.0,0,0,0
East Garo Hills,294,3796.0,0,0,0
West Garo Hills,293,4308.0,21.0,0,0
Dhubri,301,2971.0,12.0,0,0
Goalpara,302,2603.0,8.0,0,0
Bongaigaon,319,1362.0,7.0,0,0
Chirang,320,2194.0,43.0,17.0,3.0
Kokrajhar,300,4136.0,4.0,0,0
Barpeta,303,3008.0,0,0,0
Baksa,324,3095.0,0,0,0
Kamrup,321,3721.0,39.0,18.0,0.0
Kamrup Metropolitan,322,1365.0,76.0,63.0,60.0
Nalbari,323,1344.0,0,0,0
Darrang,325,2082.0,15.0,3.0,0
Udalguri,326,2665.0,0,0,0
Leh (ladakh),3,113260.0,0,0,0
Data Not Available,0,122467.0,325.0,48.0,10.0
Punch,5,3357.0,0,0,0
Kupwara,1,2840.0,0,0,0
Baramula,8,2470.0,19.0,7.0,0
Bandipore,9,3248.0,0,0,0
Ganderbal,11,1508.0,0,0,0
Srinagar,10,1416.0,63.0,24.0,0
Badgam,2,1765.0,37.0,0,0
Pulwama,12,861.0,0,0,0
Shupiyan,13,763.0,0,0,0
Rajouri,6,2682.0,8.0,0,0
Kulgam,15,1858.0,0,0,0
Anantnag,14,4410.0,0,0,0
Kargil,4,20916.0,0,0,0
Kishtwar,18,12010.0,30.0,0,0
Lahul & Spiti,25,19110.0,0,0,0
Chamba,23,8940.0,23.0,0,0
Kangra,24,7778.0,86.0,3.0,0
Kullu,26,7531.0,35.0,0,0
Kinnaur,34,8847.0,0,0,0
Mandi,27,5352.0,62.0,0,0
Hamirpur,28,1526.0,13.0,0,0
Solan,31,2509.0,129.0,29.0,1.0
Bilaspur,30,1557.0,38.0,0,0
Una,29,2039.0,63.0,5.0,0
Rupnagar,51,1683.0,141.0,51.0,9.0
Shahid Bhagat Singh Nagar,39,1657.0,98.0,14.0,0.0
Shimla,33,6938.0,43.0,17.0,4.0
Sirmaur,32,3764.0,49.0,0,0
Uttarkashi,56,10952.0,0,0,0
Chamoli,57,10604.0,0,0,0
Tehri Garhwal,59,5134.0,74.0,24.0,0.0
Rudraprayag,58,2487.0,0,0,0
Dehradun,60,3771.0,222.0,94.0,67.0
Garhwal,61,7266.0,69.0,9.0,0.0
Saharanpur,132,4855.0,79.0,42.0,37.0
Hardwar,68,3004.0,105.0,59.0,44.0
Muzaffarnagar,133,5218.0,133.0,46.0,31.0
Bijnor,134,5693.0,78.0,8.0,0
Almora,64,4148.0,19.0,0,0
Nainital,66,5398.0,106.0,23.0,10.0
Udham Singh Nagar,67,3326.0,284.0,44.0,18.0
Rampur,136,3330.0,44.0,25.0,25.0
Moradabad,135,4546.0,162.0,56.0,60.0
Bareilly,150,4776.0,131.0,56.0,58.0
Budaun,149,6634.0,54.0,27.0,0
Jyotiba Phule Nagar,137,2968.0,51.0,7.0,0
Bulandshahr,142,4539.0,114.0,49.0,16.0
Ghaziabad,140,2047.0,296.0,122.0,162.0
Meerut,138,3101.0,178.0,81.0,125.0
Baghpat,139,1710.0,50.0,10.0,0
Sonipat,76,2268.0,472.0,96.0,42.0
North West,90,9.0,128.0,170.0,282.0
Gautam Buddha Nagar,141,1315.0,239.0,114.0,198.0
Aligarh,143,4758.0,87.0,37.0,61.0
Faridabad,88,582.0,255.0,90.0,187.0
Palwal,89,1622.0,81.0,33.0,15.0
Mewat,87,1848.0,82.0,7.0,2.0
Gurgaon,86,931.0,411.0,126.0,170.0
South,98,2.0,43.0,34.0,257.0
New Delhi,94,0,0,0,51.0
South West,97,12.0,130.0,75.0,360.0
Central,95,0,0,0,20.0
East,93,0,0,0,87.0
North East,92,1.0,9.0,4.0,69.0
North,91,0.0,3.0,8.0,82.0
West,96,0,0,20.0,142.0
Jhajjar,83,2415.0,107.0,30.0,21.0
Alwar,104,10542.0,276.0,64.0,52.0
Rewari,85,1718.0,162.0,76.0,19.0
Rohtak,82,2098.0,121.0,29.0,44.0
Bhiwani,81,5924.0,155.0,43.0,27.0
Jind,77,3392.0,158.0,53.0,23.0
Panipat,75,1168.0,300.0,88.0,82.0
Karnal,74,2754.0,634.0,109.0,47.0
Kaithal,73,2825.0,204.0,45.0,17.0
Kurukshetra,72,1613.0,382.0,85.0,35.0
Patiala,48,3830.0,433.0,135.0,96.0
Ambala,70,1670.0,230.0,61.0,82.0
Yamunanagar,71,2036.0,201.0,47.0,60.0
Panchkula,69,955.0,134.0,24.0,38.0
Sahibzada Ajit Singh Nagar,52,992.0,349.0,115.0,48.0
Chandigarh,55,0,3.0,11.0,145.0
Fatehgarh Sahib,40,1327.0,166.0,44.0,11.0
Ludhiana,41,3656.0,757.0,182.0,271.0
Sangrur,53,4403.0,330.0,85.0,39.0
Barnala,54,1842.0,129.0,22.0,13.0
Moga,42,2890.0,241.0,33.0,19.0
Bathinda,46,4159.0,272.0,65.0,48.0
Faridkot,45,1794.0,106.0,45.0,20.0
Mansa,47,2848.0,99.0,23.0,4.0
Fatehabad,78,2993.0,169.0,41.0,19.0
Sirsa,79,5443.0,159.0,50.0,33.0
Hisar,80,5200.0,255.0,101.0,56.0
Mahendragarh,84,2426.0,97.0,23.0,7.0
Jhunjhunun,103,7488.0,252.0,76.0,13.0
Churu,102,18118.0,191.0,79.0,29.0
Sikar,111,9804.0,232.0,53.0,43.0
Hanumangarh,100,12946.0,243.0,67.0,21.0
Bikaner,101,39615.0,217.0,69.0,93.0
Ganganagar,99,13864.0,311.0,82.0,39.0
Muktsar,44,3290.0,139.0,59.0,27.0
Firozpur,43,6456.0,406.0,120.0,64.0
Amritsar,49,2559.0,845.0,99.0,141.0
Gurdaspur,35,4315.0,530.0,87.0,42.0
Tarn Taran,50,2749.0,471.0,36.0,10.0
Kapurthala,36,2001.0,202.0,43.0,22.0
Jalandhar,37,2846.0,463.0,95.0,148.0
Hoshiarpur,38,4418.0,148.0,23.0,18.0
Kathua,7,3163.0,72.0,19.0,4.0
Samba,22,1307.0,46.0,4.0,0
Jammu,21,2218.0,344.0,113.0,108.0
Udhampur,19,3248.0,56.0,24.0,0
Doda,16,2885.0,7.0,0,0
Ramban,17,1549.0,1.0,0,0
Reasi,20,3124.0,37.0,18.0,1.0
Jaisalmer,114,50274.0,68.0,16.0,11.0
Jodhpur,113,29354.0,277.0,92.0,151.0
Nagaur,112,22734.0,292.0,78.0,29.0
Barmer,115,36667.0,97.0,35.0,18.0
Pali,118,15793.0,143.0,44.0,22.0
Jalor,116,13748.0,65.0,17.0,0
Sirohi,117,6417.0,165.0,44.0,5.0
Udaipur,130,14981.0,155.0,52.0,86.0
Banas Kantha,469,13484.0,119.0,37.0,5.0
Kachchh,468,53135.0,297.0,132.0,103.0
Jamnagar,477,13067.0,394.0,123.0,169.0
Porbandar,478,2709.0,108.0,30.0,27.0
Rajkot,476,13326.0,473.0,171.0,158.0
Junagadh,479,9699.0,490.0,112.0,67.0
Amreli,480,9523.0,305.0,81.0,13.0
Surendranagar,475,13017.0,188.0,65.0,31.0
Bhavnagar,481,9928.0,402.0,118.0,74.0
Ahmadabad,474,9143.0,524.0,151.0,329.0
Patan,470,7101.0,76.0,30.0,0
Mahesana,471,5032.0,465.0,106.0,19.0
Gandhinagar,473,1983.0,529.0,111.0,90.0
Sabar Kantha,472,9311.0,119.0,27.0,7.0
Dungarpur,124,4771.0,48.0,8.0,0
Kheda,483,4864.0,160.0,24.0,17.0
Panch Mahals,484,6548.0,135.0,24.0,6.0
Vadodara,486,8666.0,482.0,103.0,230.0
Anand,482,3408.0,215.0,38.0,25.0
Bharuch,488,5389.0,726.0,308.0,218.0
Narmada,487,3526.0,23.0,0,0
Nandurbar,497,7326.0,58.0,21.0,3.0
Alirajpur,465,4195.0,19.0,2.0,0
Jhabua,464,4322.0,23.0,11.0,0
Dohad,485,4516.0,25.0,12.0,2.0
Banswara,125,5673.0,34.0,19.0,8.0
Ratlam,434,5997.0,79.0,37.0,29.0
Dhar,438,10075.0,162.0,46.0,19.0
Barwani,441,6770.0,47.0,18.0,2.0
West Nimar,440,9974.0,139.0,26.0,3.0
Indore,439,4341.0,299.0,125.0,186.0
East Nimar,466,9291.0,49.0,19.0,15.0
Dewas,437,8669.0,81.0,35.0,33.0
Ujjain,435,7488.0,155.0,48.0,54.0
Sehore,445,8218.0,74.0,28.0,9.0
Shajapur,436,7876.0,118.0,27.0,4.0
Rajgarh,442,7632.0,160.0,26.0,0
Mandsaur,433,7106.0,78.0,19.0,14.0
Pratapgarh,131,5467.0,31.0,2.0,2.0
Jhalawar,129,7896.0,85.0,29.0,4.0
Kota,127,6549.0,311.0,118.0,124.0
Baran,128,8650.0,102.0,22.0,7.0
Chittaurgarh,126,9553.0,183.0,70.0,23.0
Neemuch,432,5213.0,100.0,18.0,13.0
Rajsamand,123,5941.0,225.0,30.0,0
Bhilwara,122,13363.0,96.0,35.0,28.0
Ajmer,119,10563.0,295.0,108.0,118.0
Jaipur,110,13440.0,753.0,199.0,356.0
Tonk,120,9314.0,75.0,25.0,11.0
Dausa,109,4412.0,103.0,26.0,6.0
Sawai Madhopur,108,6448.0,62.0,34.0,6.0
Bundi,121,7074.0,102.0,23.0,15.0
Sheopur,418,8443.0,23.0,13.0,0
Shivpuri,423,13436.0,53.0,20.0,15.0
Guna,458,7902.0,115.0,44.0,26.0
Gwalior,421,6447.0,154.0,68.0,108.0
Morena,419,6352.0,107.0,21.0,12.0
Dhaulpur,106,3895.0,36.0,17.0,4.0
Karauli,107,6371.0,43.0,24.0,2.0
Bharatpur,105,6474.0,116.0,24.0,20.0
Mathura,145,3980.0,251.0,108.0,74.0
Mahamaya Nagar,144,2254.0,45.0,18.0,8.0
Agra,146,4844.0,191.0,72.0,167.0
Bhind,420,5707.0,71.0,34.0,9.0
Firozabad,147,2965.0,120.0,46.0,19.0
Etah,201,3262.0,24.0,19.0,0
Kansiram Nagar,202,2561.0,25.0,6.0,0
Shahjahanpur,152,6016.0,80.0,25.0,24.0
Farrukhabad,159,2789.0,45.0,31.0,6.0
Mainpuri,148,3497.0,35.0,9.0,0
Etawah,161,2984.0,30.0,21.0,3.0
Kannauj,160,2688.0,26.0,1.0,0
Auraiya,162,2476.0,76.0,35.0,32.0
Jalaun,165,5849.0,63.0,17.0,9.0
Datia,422,2380.0,38.0,17.0,10.0
Tikamgarh,424,6443.0,56.0,18.0,3.0
Jhansi,166,6324.0,142.0,40.0,45.0
Lalitpur,167,6437.0,31.0,14.0,0
Hamirpur,168,5473.0,47.0,0,0
Mahoba,169,3679.0,29.0,0,0
Chhatarpur,425,10992.0,113.0,31.0,16.0
Sagar,427,12896.0,113.0,45.0,31.0
Damoh,428,9297.0,46.0,22.0,15.0
Raisen,446,10701.0,64.0,19.0,11.0
Vidisha,443,9239.0,62.0,19.0,7.0
Ashoknagar,459,6013.0,44.0,9.0,0
Bhopal,444,3029.0,163.0,85.0,190.0
Harda,448,4149.0,23.0,12.0,0
Hoshangabad,449,8290.0,146.0,39.0,13.0
Betul,447,12534.0,95.0,29.0,7.0
Chhindwara,455,14678.0,158.0,31.0,10.0
Narsimhapur,452,6397.0,103.0,19.0,2.0
Jabalpur,451,6075.0,218.0,72.0,123.0
Seoni,456,11004.0,24.0,16.0,3.0
Mandla,454,9502.0,32.0,12.0,0
Balaghat,457,11566.0,46.0,15.0,2.0
Dindori,453,7228.0,0,0,0
Katni,450,6317.0,74.0,34.0,31.0
Umaria,431,5783.0,59.0,0.0,0
Panna,426,9063.0,21.0,12.0,1.0
Satna,429,9427.0,129.0,31.0,32.0
Banda,170,5796.0,40.0,14.0,8.0
Chitrakoot,171,3947.0,22.0,6.0,0
Shahdol,460,7136.0,61.0,36.0,10.0
Sidhi,462,6081.0,24.0,6.0,0
Rewa,430,7977.0,74.0,30.0,25.0
Kaushambi,174,2543.0,33.0,26.0,21.0
Allahabad,175,6397.0,150.0,73.0,114.0
Sant Ravi Das Nagar(bhadohi),198,1240.0,47.0,15.0,0
Mirzapur,199,5713.0,63.0,18.0,15.0
Singrauli,463,7104.0,123.0,90.0,81.0
Koriya,400,8321.0,98.0,28.0,1.0
Anuppur,461,4637.0,152.0,11.0,0
Kabeerdham,407,5314.0,4.0,0,0
Bilaspur,406,10382.0,70.0,34.0,39.0
Korba,404,7957.0,186.0,110.0,69.0
Surguja,401,19908.0,69.0,19.0,6.0
Sonbhadra,200,8333.0,188.0,93.0,76.0
Garhwa,346,5245.0,0,0,0
Jashpur,402,7349.0,2.0,0,0
Raigarh,403,8831.0,68.0,18.0,10.0
Gumla,366,6796.0,0,0,0
Simdega,367,4783.0,1.0,0,0
Sundargarh,374,11962.0,150.0,56.0,77.0
Ranchi,364,6023.0,152.0,57.0,39.0
Lohardaga,356,1905.0,0,0,0
Latehar,359,5426.0,0,0,0
Chatra,347,4772.0,26.0,1.0,0
Palamu,358,5631.0,21.0,0,0
Rohtas,234,4937.0,35.0,0,0
Kaimur (bhabua),233,4309.0,0,0,0
Aurangabad,235,4201.0,12.0,0,0
Gaya,236,6284.0,57.0,24.0,9.0
Bhojpur,231,3043.0,22.0,0,0
Arwal,240,858.0,0,0,0
Jehanabad,239,1199.0,1.0,0,0
Patna,230,3814.0,129.0,73.0,122.0
Buxar,232,2196.0,12.0,0,0
Ghazipur,195,4342.0,28.0,6.0,0
Chandauli,196,3155.0,68.0,27.0,14.0
Varanasi,197,1697.0,119.0,66.0,120.0
Jaunpur,194,5161.0,38.0,20.0,4.0
Pratapgarh,173,4751.0,39.0,17.0,8.0
Azamgarh,191,5486.0,38.0,20.0,3.0
Ambedkar Nagar,178,2984.0,34.0,0,0
Sultanpur,179,5673.0,46.0,25.0,4.0
Faizabad,177,3431.0,76.0,45.0,20.0
Basti,185,3696.0,43.0,25.0,6.0
Gonda,183,5207.0,46.0,22.0,12.0
Sant Kabir Nagar,186,2065.0,23.0,0,0
Gorakhpur,188,4180.0,87.0,46.0,75.0
Maharajganj,187,3796.0,6.0,0,0
Kushinagar,189,3740.0,32.0,0,0
Deoria,190,3285.0,28.0,13.0,1.0
Mau,192,2144.0,38.0,17.0,0
Ballia,193,3858.0,30.0,7.0,0
Siwan,218,2881.0,8.0,0,0
Saran (chhapra),219,3360.0,55.0,9.0,1.0
Muzaffarpur,216,4051.0,47.0,25.0,13.0
Gopalganj,217,2656.0,1.0,0,0
Purba Champaran,204,5163.0,30.0,0.0,0
Pashchim Champaran,203,6865.0,11.0,0,0
Siddharth Nagar,184,3710.0,5.0,0,0
Balrampur,182,4329.0,33.0,8.0,0
Shrawasti,181,3298.0,0,0,0
Bahraich,180,5640.0,42.0,19.0,0
Kheri,153,10128.0,48.0,20.0,0
Sitapur,154,7519.0,60.0,19.0,3.0
Bara Banki,176,4898.0,43.0,19.0,2.0
Lucknow,157,2775.0,179.0,114.0,254.0
Hardoi,155,7777.0,77.0,22.0,16.0
Rae Bareli,158,5871.0,74.0,42.0,19.0
Fatehpur,172,5369.0,33.0,13.0,0
Unnao,156,5854.0,96.0,39.0,10.0
Kanpur Nagar,164,3358.0,111.0,63.0,219.0
Kanpur Dehat,163,4175.0,12.0,0,0
Pilibhit,151,4735.0,26.0,8.0,0
Bageshwar,63,3073.0,0,0,0
Champawat,65,2206.0,0,0,0
Pithoragarh,62,9749.0,14.0,0,0
North,241,5616.0,0,0,0
East,244,1237.0,0,0,0
Jalpaiguri,328,7966.0,117.0,31.0,8.0
Koch Bihar,329,4383.0,40.0,10.0,0
Darjiling,327,4041.0,98.0,18.0,20.0
South,243,959.0,0,0,0
West,242,1575.0,0,0,0
Kishanganj,210,2503.0,12.0,0,0
Uttar Dinajpur,330,4110.0,56.0,16.0,1.0
Purnia,211,4141.0,40.0,18.0,2.0
Katihar,212,3915.0,28.0,12.0,0
Araria,209,3641.0,6.0,0,0
Madhubani,207,4478.0,1.0,0,0
Sitamarhi,206,3032.0,8.0,0,0
Darbhanga,215,2913.0,42.0,15.0,0
Sheohar,205,376.0,0,0,0
Vaishali,220,2544.0,45.0,6.0,0.0
Samastipur,221,3740.0,21.0,0,0
