DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	avg_lights_x_pct	avg_vis	censuscode	cf_cvg	stable_lights
South Andaman	3	35	Andaman & Nicobar Island	1.60E+09	8.84E+09	640	1.43E+11	2.36E+09
Nicobar	1	35	Andaman & Nicobar Island	2.62E+08	5.49E+09	638	7.17E+10	3.98E+08
North & Middle Andaman	2	35	Andaman & Nicobar Island	4.27E+08	1.04E+10	639	2.09E+11	8.85E+08
Lawangtlai	7	15	Mizoram	1.55E+08	6.19E+09	287	1.16E+11	1.71E+08
Lunglei	6	15	Mizoram	5.05E+08	1.43E+10	286	2.53E+11	7.07E+08
Saiha	8	15	Mizoram	1.53E+08	6.08E+09	288	1.13E+11	1.61E+08
Dibang Valley	13	12	Arunanchal Pradesh	7.28E+08	2.50E+10	257	4.50E+11	0
Upper Siang	8	12	Arunanchal Pradesh	3.95E+08	2.19E+10	252	3.93E+11	1.51E+07
Lower Dibang Valley	14	12	Arunanchal Pradesh	4.29E+08	1.77E+10	258	3.35E+11	3.40E+07
Tuensang	7	13	Nagaland	2.74E+08	7.63E+09	267	1.25E+11	1.29E+08
Mon	1	13	Nagaland	2.28E+08	5.82E+09	261	9.32E+10	3.23E+08
Tirap	10	12	Arunanchal Pradesh	1.18E+08	6.25E+09	254	9.82E+10	8.05E+07
Sivasagar	12	18	Assam	1.18E+10	1.98E+10	311	1.37E+11	1.71E+10
Changlang	9	12	Arunanchal Pradesh	1.72E+09	1.70E+10	253	2.57E+11	2.06E+09
Lohit	15	12	Arunanchal Pradesh	7.82E+08	1.27E+10	259	2.14E+11	8.27E+08
Anjaw	16	12	Arunanchal Pradesh	6.76E+08	2.07E+10	260	3.67E+11	0
Tinsukia	10	18	Assam	1.10E+10	2.23E+10	309	1.93E+11	1.46E+10
Dhemaji	9	18	Assam	2.61E+08	8.18E+09	308	1.47E+11	1.41E+08
Dibrugarh	11	18	Assam	2.74E+10	3.59E+10	310	1.73E+11	3.14E+10
East Siang	7	12	Arunanchal Pradesh	4.00E+08	1.18E+10	251	2.10E+11	6.96E+07
West Siang	6	12	Arunanchal Pradesh	5.18E+08	2.48E+10	250	4.49E+11	7.78E+07
Upper Subansiri	5	12	Arunanchal Pradesh	3.95E+08	2.09E+10	249	3.98E+11	0
Jorhat	13	18	Assam	3.88E+09	1.34E+10	312	1.77E+11	7.24E+09
Lakhimpur	8	18	Assam	7.03E+08	9.81E+09	307	1.77E+11	1.01E+09
Lower Subansiri	11	12	Arunanchal Pradesh	2.03E+08	7.69E+09	255	1.53E+11	1.26E+08
Papum Pare	4	12	Arunanchal Pradesh	1.16E+09	1.25E+10	248	2.37E+11	1.58E+09
Kurung Kumey	12	12	Arunanchal Pradesh	4.69E+08	2.29E+10	256	4.46E+11	0
East Kameng	3	12	Arunanchal Pradesh	3.68E+08	1.96E+10	247	3.98E+11	5.08E+07
West Kameng	2	12	Arunanchal Pradesh	5.51E+08	1.72E+10	246	3.47E+11	5.55E+08
Tawang	1	12	Arunanchal Pradesh	1.91E+08	7.82E+09	245	1.50E+11	1.43E+08
Sonitpur	7	18	Assam	3.60E+09	2.10E+10	306	3.30E+11	8.10E+09
Golaghat	14	18	Assam	6.76E+09	1.78E+10	313	2.00E+11	1.19E+10
Karbi Anglong	15	18	Assam	3.88E+09	3.54E+10	314	6.09E+11	3.92E+09
Nagaon	6	18	Assam	4.51E+09	1.82E+10	305	2.39E+11	1.07E+10
Marigaon	5	18	Assam	8.60E+08	6.11E+09	304	9.28E+10	1.95E+09
Jaintia Hills	7	17	Meghalaya	1.33E+09	1.29E+10	299	1.85E+11	1.67E+09
Dima Hasao	16	18	Assam	2.10E+09	1.67E+10	315	2.62E+11	1.71E+09
Dimapur	5	13	Nagaland	2.27E+09	4.75E+09	265	4.72E+10	3.02E+09
Peren	11	13	Nagaland	3.68E+08	5.64E+09	271	1.01E+11	4.15E+08
Kohima	10	13	Nagaland	7.72E+08	5.26E+09	270	8.02E+10	1.19E+09
Wokha	4	13	Nagaland	5.19E+08	5.40E+09	264	9.33E+10	7.46E+08
Phek	6	13	Nagaland	1.99E+08	6.33E+09	266	1.13E+11	1.41E+08
Zunheboto	3	13	Nagaland	2.20E+08	3.99E+09	263	6.84E+10	1.89E+08
Mokokchung	2	13	Nagaland	4.50E+08	5.45E+09	262	9.19E+10	8.78E+08
Longleng	8	13	Nagaland	1.00E+08	1.81E+09	268	3.05E+10	1.16E+08
Kiphire	9	13	Nagaland	1.12E+08	3.54E+09	269	5.87E+10	4.63E+07
Senapati	1	14	Manipur	6.04E+08	1.13E+10	272	1.85E+11	1.25E+09
Ukhrul	8	14	Manipur	4.39E+08	1.37E+10	279	2.41E+11	3.43E+08
Tamenglong	2	14	Manipur	3.57E+08	1.29E+10	273	2.33E+11	1.66E+08
Imphal East	7	14	Manipur	4.87E+09	7.64E+09	278	5.12E+10	7.03E+09
Chandel	9	14	Manipur	4.49E+08	9.95E+09	280	1.73E+11	3.51E+08
Thoubal	5	14	Manipur	8.67E+08	3.30E+09	276	3.97E+10	2.35E+09
Bishnupur	4	14	Manipur	4.94E+08	2.13E+09	275	2.65E+10	1.53E+09
Churachandpur	3	14	Manipur	6.18E+08	1.43E+10	274	2.61E+11	7.81E+08
Champhai	4	15	Mizoram	3.13E+08	1.05E+10	284	1.90E+11	4.89E+08
Aizawl	3	15	Mizoram	2.20E+09	1.36E+10	283	2.11E+11	2.79E+09
Serchhip	5	15	Mizoram	1.14E+08	3.72E+09	285	6.48E+10	3.35E+08
Mamit	1	15	Mizoram	2.90E+08	9.57E+09	281	1.67E+11	3.59E+08
Kolasib	2	15	Mizoram	3.39E+08	4.49E+09	282	7.73E+10	6.09E+08
Hailakandi	19	18	Assam	1.03E+09	5.42E+09	318	7.46E+10	2.53E+09
Karimganj	18	18	Assam	1.55E+09	7.78E+09	317	9.72E+10	3.68E+09
Cachar	17	18	Assam	3.12E+09	1.55E+10	316	2.08E+11	7.38E+09
Imphal West	6	14	Manipur	1.45E+08	1.08E+09	277	1.64E+10	2.49E+08
Ri Bhoi	5	17	Meghalaya	2.86E+09	1.03E+10	297	1.29E+11	2.39E+09
East Khasi Hills	6	17	Meghalaya	4.66E+09	1.34E+10	298	1.29E+11	5.51E+09
West Khasi Hills	4	17	Meghalaya	2.76E+09	1.86E+10	296	2.83E+11	7.12E+08
West Tripura	1	16	Tripura	1.01E+10	1.91E+10	289	1.66E+11	1.49E+10
Dhalai	3	16	Tripura	9.25E+08	7.83E+09	291	1.20E+11	1.76E+09
North Tripura	4	16	Tripura	2.03E+09	8.52E+09	292	1.09E+11	4.01E+09
South Tripura	2	16	Tripura	2.13E+09	1.25E+10	290	1.85E+11	5.25E+09
South Garo Hills	3	17	Meghalaya	7.92E+08	6.76E+09	295	1.16E+11	6.29E+08
East Garo Hills	2	17	Meghalaya	2.01E+09	1.12E+10	294	1.80E+11	1.79E+09
West Garo Hills	1	17	Meghalaya	1.66E+09	1.24E+10	293	2.04E+11	2.17E+09
Dhubri	2	18	Assam	1.01E+09	8.55E+09	301	1.47E+11	2.30E+09
Goalpara	3	18	Assam	1.27E+09	8.08E+09	302	1.27E+11	3.24E+09
Bongaigaon	20	18	Assam	7.82E+08	4.58E+09	319	6.81E+10	2.47E+09
Chirang	21	18	Assam	2.25E+09	7.72E+09	320	1.10E+11	3.14E+09
Kokrajhar	1	18	Assam	1.25E+09	1.16E+10	300	2.03E+11	3.16E+09
Barpeta	4	18	Assam	1.11E+09	8.84E+09	303	1.47E+11	2.90E+09
Baksa	25	18	Assam	3.75E+08	8.30E+09	324	1.48E+11	8.46E+08
Kamrup	22	18	Assam	4.08E+09	1.37E+10	321	1.74E+11	7.26E+09
Kamrup Metropolitan	23	18	Assam	7.74E+09	1.11E+10	322	6.74E+10	9.24E+09
Nalbari	24	18	Assam	5.32E+08	4.08E+09	323	6.38E+10	1.70E+09
Darrang	26	18	Assam	1.10E+09	6.53E+09	325	9.41E+10	2.07E+09
Udalguri	27	18	Assam	1.00E+09	8.43E+09	326	1.24E+11	3.22E+09
Leh (ladakh)	3	1	Jammu & Kashmir	2.71E+09	2.56E+11	3	5.01E+12	6.90E+08
Data Not Available	99	99	Jammu & Kashmir	2.20E+10	3.32E+11	0	4.81E+12	4.21E+10
Punch	5	1	Jammu & Kashmir	5.59E+08	8.97E+09	5	1.32E+11	2.49E+09
Kupwara	1	1	Jammu & Kashmir	6.18E+07	6.51E+09	1	1.03E+11	6.72E+07
Baramula	8	1	Jammu & Kashmir	1.17E+09	7.59E+09	8	9.63E+10	2.26E+09
Bandipore	9	1	Jammu & Kashmir	8.26E+07	8.04E+09	9	1.18E+11	5.74E+07
Ganderbal	11	1	Jammu & Kashmir	1.98E+07	3.80E+09	11	5.44E+10	0
Srinagar	10	1	Jammu & Kashmir	2.43E+09	6.03E+09	10	5.66E+10	3.43E+09
Badgam	2	1	Jammu & Kashmir	1.34E+09	5.80E+09	2	6.85E+10	2.13E+09
Pulwama	12	1	Jammu & Kashmir	1.39E+08	2.45E+09	12	3.38E+10	7.86E+08
Shupiyan	13	1	Jammu & Kashmir	1.30E+07	1.88E+09	13	2.94E+10	2.07E+07
Rajouri	6	1	Jammu & Kashmir	5.49E+08	7.18E+09	6	1.08E+11	1.63E+09
Kulgam	15	1	Jammu & Kashmir	3.95E+07	4.49E+09	15	6.48E+10	6.28E+07
Anantnag	14	1	Jammu & Kashmir	1.91E+08	1.07E+10	14	1.72E+11	4.42E+08
Kargil	4	1	Jammu & Kashmir	3.58E+08	5.12E+10	4	8.90E+11	1.56E+07
Kishtwar	18	1	Jammu & Kashmir	1.23E+09	3.09E+10	18	4.76E+11	1.27E+09
Lahul & Spiti	3	2	Himachal Pradesh	4.09E+08	4.88E+10	25	8.42E+11	7.53E+07
Chamba	1	2	Himachal Pradesh	1.67E+09	2.37E+10	23	3.53E+11	2.97E+09
Kangra	2	2	Himachal Pradesh	5.65E+09	2.81E+10	24	3.13E+11	1.57E+10
Kullu	4	2	Himachal Pradesh	2.41E+09	2.16E+10	26	3.32E+11	3.75E+09
Kinnaur	12	2	Himachal Pradesh	6.75E+08	2.23E+10	34	3.84E+11	8.77E+08
Mandi	5	2	Himachal Pradesh	3.21E+09	1.80E+10	27	2.38E+11	7.41E+09
Hamirpur	6	2	Himachal Pradesh	1.59E+09	6.70E+09	28	6.44E+10	6.15E+09
Solan	9	2	Himachal Pradesh	6.30E+09	1.42E+10	31	1.15E+11	1.31E+10
Bilaspur	8	2	Himachal Pradesh	2.57E+09	7.74E+09	30	6.86E+10	7.37E+09
Una	7	2	Himachal Pradesh	3.39E+09	9.84E+09	29	8.49E+10	8.20E+09
Rupnagar	17	3	Punjab	8.71E+09	1.38E+10	51	8.11E+10	1.35E+10
Shahid Bhagat Singh Nagar	5	3	Punjab	6.78E+09	1.20E+10	39	7.22E+10	1.19E+10
Shimla	11	2	Himachal Pradesh	3.69E+09	2.21E+10	33	3.25E+11	7.55E+09
Sirmaur	10	2	Himachal Pradesh	2.39E+09	1.28E+10	32	1.79E+11	5.24E+09
Uttarkashi	1	5	Uttarakhand	1.41E+09	2.75E+10	56	4.85E+11	1.14E+09
